iter	Passed	Remaining
466	708	808
467	709	806
468	710	803
469	711	802
470	712	800
471	713	798
472	714	796
473	715	793
474	716	791
475	716	789
476	717	786
477	718	784
478	719	782
479	719	779
480	720	777
481	721	775
482	722	773
483	723	771
484	724	769
485	725	767
486	727	766
487	728	764
488	729	762
489	730	760
490	731	757
491	731	755
492	732	753
493	733	751
494	734	749
495	735	747
496	736	745
497	737	743
498	738	741
499	739	739
500	740	737
501	741	735
502	742	733
503	743	731
504	744	729
505	745	727
506	745	725
507	746	723
508	747	721
509	748	719
510	749	716
511	749	714
512	750	712
513	751	710
514	752	708
515	753	706
516	753	704
517	754	702
518	755	700
519	757	699
520	758	697
521	759	695
522	760	693
523	760	691
524	761	689
525	762	687
526	763	685
527	764	683
528	764	681
529	765	679
530	766	677
531	767	675
532	768	673
533	769	671
534	769	669
535	771	667
536	773	666
537	773	664
538	774	662
539	775	660
540	776	658
541	777	656
542	778	655
543	779	653
544	780	651
545	781	649
546	782	647
547	783	645
548	784	644
549	785	642
550	786	641
551	788	640
552	789	638
553	791	636
554	792	635
555	793	633
556	794	631
557	795	630
558	796	628
559	797	626
560	798	624
561	799	623
562	800	621
563	801	619
564	802	618
565	803	616
566	804	614
567	805	612
568	806	610
569	807	609
570	808	607
571	808	605
572	809	603
573	810	601
574	811	599
575	811	597
576	812	595
577	813	593
578	814	592
579	815	590
580	816	588
581	818	587
582	819	585
583	819	583
584	820	582
585	821	580
586	822	578
587	823	576
588	823	574
589	824	573
590	825	571
591	826	569
592	827	567
593	828	566
594	829	564
595	830	562
596	831	560
597	832	559
598	833	558
599	834	556
600	835	554
601	835	552
602	836	550
603	837	549
604	838	547
605	839	545
606	839	543
607	840	541
608	841	540
609	841	538
610	842	536
611	843	534
612	844	533
613	845	531
614	846	529
615	848	528
616	849	527
617	849	525
618	850	523
619	851	521
620	852	520
621	853	518
622	853	516
623	854	514
624	855	513
625	856	511
626	857	509
627	857	508
628	858	506
629	859	504
630	860	503
631	861	501
632	862	499
633	863	498
634	864	496
635	865	495
636	865	493
637	866	491
638	867	490
639	868	488
640	869	486
641	869	484
642	870	483
643	871	481
644	872	480
645	873	478
646	873	476
647	874	475
648	875	473
649	876	472
650	878	470
651	879	469
652	880	467
653	881	466
654	882	464
655	883	463
656	883	461
657	884	459
658	885	458
659	886	456
660	886	454
661	887	453
662	888	451
663	889	449
664	889	448
665	890	446
666	891	445
667	893	443
668	894	442
669	895	440
670	896	439
671	896	437
672	897	436
673	898	434
674	899	433
675	900	431
676	901	429
677	901	428
678	902	426
679	903	425
680	904	423
681	905	422
682	906	420
683	908	419
684	909	418
685	910	416
686	911	415
687	912	413
688	913	412
689	914	410
690	915	409
691	916	408
692	917	406
693	918	404
694	919	403
695	919	401
696	920	400
697	921	398
698	923	397
699	924	396
700	925	394
701	926	393
702	927	391
703	927	390
704	928	388
705	930	387
706	931	385
707	932	384
708	933	382
709	933	381
710	934	379
711	935	378
712	936	376
713	937	375
714	938	374
715	939	372
716	940	371
717	941	369
718	942	368
719	943	366
720	944	365
721	945	363
722	945	362
723	946	360
724	947	359
725	948	357
726	948	356
727	949	354
728	950	353
729	951	351
730	952	350
731	954	349
732	955	348
733	956	346
734	957	345
735	958	343
736	959	342
737	960	340
738	961	339
739	962	338
740	963	336
741	964	335
742	965	333
743	966	332
744	967	331
745	969	330
746	970	328
747	971	327
748	972	325
749	973	324
750	974	323
751	975	321
752	976	320
753	977	318
754	977	317
755	978	315
756	979	314
757	980	313
758	981	311
759	983	310
760	984	309
761	985	307
762	986	306
763	987	305
764	988	303
765	989	302
766	990	300
767	991	299
768	992	298
769	993	296
770	994	295
771	995	293
772	996	292
773	997	291
774	999	290
775	1001	288
776	1001	287
777	1002	286
778	1003	284
779	1004	283
780	1005	282
781	1006	280
782	1007	279
783	1008	277
784	1009	276
785	1011	275
786	1012	274
787	1014	273
788	1016	271
789	1017	270
790	1018	269
791	1019	267
792	1020	266
793	1021	265
794	1022	263
795	1023	262
796	1024	260
797	1025	259
798	1026	258
799	1027	256
800	1029	255
801	1031	254
802	1032	253
803	1033	252
804	1034	250
805	1035	249
806	1036	247
807	1037	246
808	1038	245
809	1039	243
810	1040	242
